Province,District,2014,2019,2024
Adana,Aladag,17113,16121,16190
Adana,Ceyhan,159454,160977,155965
Adana,Feke,17820,16919,16116
Adana,Karaisali,21682,21948,22997
Adana,Karatas,22178,23678,24304
Adana,Kozan,128893,131633,132911
Adana,Pozanti,20004,19974,20235
Adana,Saimbeyli,16000,14764,13451
Adana,Saricam,143547,181610,251259
Adana,Seyhan,779232,796286,786931
Adana,Tufanbeyli,19184,17102,16524
Adana,Yumurtalik,18457,18026,17970
Adana,Yuregir,419240,414574,399910
Adana,Cukurova,353680,376390,378650
Adana,Imamoglu,29111,27938,27071
Adiyaman,Adiyaman Merkez,283556,308915,290883
Adiyaman,Besni,75910,76674,75849
Adiyaman,Gerger,20368,17552,15052
Adiyaman,Golbasi,47593,49253,47983
Adiyaman,Kahta,117964,123861,134524
Adiyaman,Samsat,8534,7980,6756
Adiyaman,Sincik,18107,16855,16016
Adiyaman,Tut,10422,9905,9333
Adiyaman,Celikhan,15381,15470,14641
Afyonkarahisar,Afyonkarahisar Merkez,274639,306908,328319
Afyonkarahisar,Bayat,8412,7673,7725
Afyonkarahisar,Basmakci,10436,9788,9208
Afyonkarahisar,Bolvadin,45098,45384,45468
Afyonkarahisar,Dazkiri,11104,11204,11670
Afyonkarahisar,Dinar,47889,47400,47326
Afyonkarahisar,Emirdag,38269,37361,43484
Afyonkarahisar,Evciler,7634,7367,7063
Afyonkarahisar,Hocalar,10184,9496,8395
Afyonkarahisar,Kiziloren,2526,2329,2034
Afyonkarahisar,Sandikli,56708,55331,54952
Afyonkarahisar,Sinanpasa,41004,39734,38428
Afyonkarahisar,Sultandagi,15988,14566,13779
Afyonkarahisar,Cay,32597,31179,29459
Afyonkarahisar,Cobanlar,14028,14363,14403
Afyonkarahisar,Ihsaniye,28253,27929,27904
Afyonkarahisar,Iscehisar,24225,24683,25084
Afyonkarahisar,Suhut,37377,36788,35492
Aksaray,Aksaray Merkez,278171,301661,324816
Aksaray,Agacoren,8881,7972,7628
Aksaray,Eskil,25984,26452,27822
Aksaray,Gulagac,19801,19615,19382
Aksaray,Guzelyurt,12147,11223,10782
Aksaray,Ortakoy,34048,32639,31287
Aksaray,Sariyahsi,5220,5658,5008
Aksaray,Sultanhani,,11147,12749
Amasya,Amasya Merkez,135950,150828,151058
Amasya,Goynucek,10771,10207,10787
Amasya,Gumushacikoy,23254,23402,22663
Amasya,Hamamozu,4056,3802,3567
Amasya,Merzifon,69937,72277,76854
Amasya,Suluova,46612,46649,47101
Amasya,Tasova,31333,30635,30348
Ankara,Akyurt,29403,36123,44541
Ankara,Altindag,361259,389510,414893
Ankara,Ayas,13018,13900,13670
Ankara,Bala,22142,30280,21893
Ankara,Beypazari,47646,48371,48445
Ankara,Elmadag,43666,45557,45133
Ankara,Etimesgut,501351,617219,629112
Ankara,Evren,2901,3097,3096
Ankara,Golbasi,118346,138944,165201
Ankara,Gudul,8626,8892,8521
Ankara,Haymana,31176,30930,27241
Ankara,Kahramankazan,47224,54806,62060
Ankara,Kalecik,13604,13234,12801
Ankara,Kecioren,872025,923404,932128
Ankara,Kizilcahamam,25767,28350,28823
Ankara,Mamak,587565,682279,686777
Ankara,Nallihan,29289,27579,26488
Ankara,Polatli,121101,125075,130515
Ankara,Pursaklar,129152,150488,165665
Ankara,Sincan,497516,535637,590309
Ankara,Yenimahalle,608217,701638,714866
Ankara,Camlidere,6781,9825,10475
Ankara,Cankaya,913715,937546,947330
Ankara,Cubuk,84636,90764,100750
Ankara,Sereflikochisar,33946,33821,33316
Antalya,Akseki,12254,11484,10546
Antalya,Aksu,68106,73220,82560
Antalya,Alanya,285407,327503,361873
Antalya,Demre,26059,26362,27814
Antalya,Dosemealti,53554,65794,90572
Antalya,Elmali,38598,38972,41853
Antalya,Finike,46853,48534,51620
Antalya,Gazipasa,48561,50555,55362
Antalya,Gundogmus,7949,7737,7353
Antalya,Kas,55574,59716,63921
Antalya,Kemer,41621,46143,50436
Antalya,Kepez,470759,556033,629479
Antalya,Konyaalti,145648,190043,196079
Antalya,Korkuteli,52913,55352,58728
Antalya,Kumluca,66783,70423,75041
Antalya,Manavgat,215526,241011,262576
Antalya,Muratpasa,465927,510368,509444
Antalya,Serik,117670,129418,143435
Antalya,Ibradi,2800,3032,3411
Ardahan,Ardahan Merkez,40960,42374,42146
Ardahan,Damal,5767,5334,4653
Ardahan,Gole,27142,24863,22214
Ardahan,Hanak,9484,8776,7836
Ardahan,Posof,7322,6629,6057
Ardahan,Cildir,10134,9343,8448
Artvin,Ardanuc,11160,11449,11006
Artvin,Arhavi,20306,20926,21821
Artvin,Artvin Merkez,34050,35186,36071
Artvin,Borcka,23162,22831,22288
Artvin,Hopa,34234,26958,27806
Artvin,Kemalpasa,,9224,9343
Artvin,Murgul,6142,7031,6331
Artvin,Yusufeli,21596,20154,18080
Artvin,Savsat,19024,17116,16534
Aydin,Bozdogan,34576,33627,31945
Aydin,Buharkent,12458,12793,13115
Aydin,Didim,73385,86688,101474
Aydin,Efeler,270835,293816,308551
Aydin,Germencik,43256,43968,44677
Aydin,Karacasu,19536,18389,17508
Aydin,Karpuzlu,11603,10952,10510
Aydin,Kocarli,23859,23397,22464
Aydin,Kuyucak,27505,26671,26684
Aydin,Kusadasi,101619,116966,137015
Aydin,Kosk,27005,27846,28436
Aydin,Nazilli,149816,159544,162041
Aydin,Sultanhisar,20910,20458,20147
Aydin,Soke,115936,121481,123850
Aydin,Yenipazar,12963,12481,11834
Aydin,Cine,50585,49339,48209
Aydin,Incirliova,46132,52556,57483
Agri,Agri Merkez,146007,151083,150602
Agri,Diyadin,44693,41512,36416
Agri,Dogubayazit,121112,119807,114769
Agri,Eleskirt,37744,32593,28901
Agri,Hamur,20364,18152,14961
Agri,Patnos,125324,122850,109224
Agri,Taslicay,21611,20029,18152
Agri,Tutak,32580,30173,26776
Balikesir,Altieylul,172023,181286,185351
Balikesir,Ayvalik,69880,70720,75126
Balikesir,Balya,13912,12451,12695
Balikesir,Bandirma,145089,156787,167363
Balikesir,Bigadic,48470,49926,48445
Balikesir,Burhaniye,57554,60490,67039
Balikesir,Dursunbey,39411,33333,32778
Balikesir,Edremit,140161,155837,173689
Balikesir,Erdek,34676,31902,32021
Balikesir,Gomec,13431,16880,18269
Balikesir,Gonen,73095,74871,75486
Balikesir,Havran,27876,28058,28107
Balikesir,Karesi,170776,183084,190427
Balikesir,Kepsut,24180,22825,21886
Balikesir,Manyas,20477,18066,17890
Balikesir,Marmara,9456,10601,11708
Balikesir,Savastepe,18863,16765,16547
Balikesir,Susurluk,39929,37724,37750
Balikesir,Sindirgi,35591,32408,32133
Balikesir,Ivrindi,34207,31512,31386
Bartin,Amasra,15376,14151,14107
Bartin,Bartin Merkez,145230,155765,162793
Bartin,Kurucasile,6844,6621,6559
Bartin,Ulus,21955,21712,23256
Batman,Batman Merkez,408248,460955,506322
Batman,Besiri,30327,29667,32424
Batman,Gercus,20862,19892,19794
Batman,Hasankeyf,6509,6859,7324
Batman,Kozluk,61001,60375,59562
Batman,Sason,30646,30911,29102
Bayburt,Aydintepe,7026,6825,6388
Bayburt,Bayburt Merkez,63848,68771,69029
Bayburt,Demirozu,9733,9247,8259
Bilecik,Bilecik Merkez,72611,78533,82403
Bilecik,Bozuyuk,69764,75566,80865
Bilecik,Golpazari,10016,10464,9910
Bilecik,Osmaneli,20934,21105,21931
Bilecik,Pazaryeri,11099,10301,9778
Bilecik,Sogut,19785,18167,18665
Bilecik,Yenipazar,3106,2877,2775
Bilecik,Inhisar,2610,2414,2168
Bingol,Adakli,8905,8550,7987
Bingol,Bingol Merkez,147087,164835,173856
Bingol,Genc,34894,34181,32543
Bingol,Karliova,31467,29174,26172
Bingol,Kigi,5496,4578,4650
Bingol,Solhan,33256,33655,33353
Bingol,Yayladere,1957,2021,1996
Bingol,Yedisu,2957,2818,2728
Bitlis,Adilcevaz,31196,30499,29290
Bitlis,Ahlat,38121,40699,45096
Bitlis,Bitlis Merkez,66732,70699,73678
Bitlis,Guroymak,46269,47829,49090
Bitlis,Hizan,36663,33331,31030
Bitlis,Mutki,32528,31869,27872
Bitlis,Tatvan,86514,93189,103752
Bolu,Bolu Merkez,177855,212358,222340
Bolu,Dortdivan,6527,6750,6407
Bolu,Gerede,34094,33926,36927
Bolu,Goynuk,15772,15050,14412
Bolu,Kibriscik,3461,3179,2810
Bolu,Mengen,14042,13953,13964
Bolu,Mudurnu,19987,18880,18360
Bolu,Seben,5552,5083,4604
Bolu,Yenicaga,7499,6947,6585
Burdur,Altinyayla,5601,5519,5120
Burdur,Aglasun,8679,8078,7552
Burdur,Bucak,64763,65335,68096
Burdur,Burdur Merkez,99333,115159,118234
Burdur,Golhisar,21671,22399,23988
Burdur,Karamanli,8079,8016,8223
Burdur,Kemer,3594,3217,2814
Burdur,Tefenni,10290,9918,9812
Burdur,Yesilova,16622,15225,14179
Burdur,Cavdir,12891,12796,12741
Burdur,Celtikci,5375,5134,5067
Bursa,Buyukorhan,11396,9666,9596
Bursa,Gemlik,103390,113493,123361
Bursa,Gursu,74827,93788,104867
Bursa,Harmancik,6873,6384,6204
Bursa,Karacabey,80594,83923,85968
Bursa,Keles,13123,11997,11171
Bursa,Kestel,52938,68204,76659
Bursa,Mudanya,80385,97631,110797
Bursa,Mustafakemalpasa,99651,101119,103581
Bursa,Nilufer,375474,465956,561730
Bursa,Orhaneli,21563,19387,19069
Bursa,Orhangazi,76143,79145,82111
Bursa,Osmangazi,813262,876048,885441
Bursa,Yenisehir,52215,53921,55606
Bursa,Yildirim,640746,657994,654998
Bursa,Inegol,242232,273933,302251
Bursa,Iznik,42727,43531,45208
Denizli,Acipayam,55722,55351,54994
Denizli,Babadag,6623,6445,6303
Denizli,Baklan,5800,5524,5351
Denizli,Bekilli,7512,6826,6416
Denizli,Beyagac,6922,6397,6148
Denizli,Bozkurt,12352,12671,11130
Denizli,Buldan,27455,27179,26456
Denizli,Guney,10697,9802,9280
Denizli,Honaz,32282,34343,34835
Denizli,Kale,21133,20310,19154
Denizli,Merkezefendi,271942,311177,345933
Denizli,Pamukkale,320142,346625,345850
Denizli,Saraykoy,29739,30810,31063
Denizli,Serinhisar,14796,14451,14591
Denizli,Tavas,46463,43320,40591
Denizli,Cal,20218,18869,17546
Denizli,Cameli,18819,18039,17492
Denizli,Cardak,9076,8736,8558
Denizli,Civril,61007,60333,59680
Diyarbakir,Baglar,367314,396102,397661
Diyarbakir,Bismil,112461,118250,120093
Diyarbakir,Dicle,40033,37673,36758
Diyarbakir,Ergani,123474,132463,139223
Diyarbakir,Egil,22786,22704,22346
Diyarbakir,Hani,32413,32675,32604
Diyarbakir,Hazro,17054,16618,16411
Diyarbakir,Kayapinar,292394,381414,440886
Diyarbakir,Kocakoy,16357,16106,15323
Diyarbakir,Kulp,36215,35357,35264
Diyarbakir,Lice,26427,25222,24959
Diyarbakir,Silvan,86633,86736,86905
Diyarbakir,Sur,121750,106108,97823
Diyarbakir,Yenisehir,206534,210927,228570
Diyarbakir,Cermik,50928,50819,49607
Diyarbakir,Cungus,12895,11539,10463
Diyarbakir,Cinar,69380,75640,78788
Duzce,Akcakoca,37747,38639,41233
Duzce,Cumayeri,13332,14649,16011
Duzce,Duzce Merkez,214991,247419,263220
Duzce,Golyaka,20226,20179,20930
Duzce,Gumusova,14685,15842,17205
Duzce,Kaynasli,20833,20454,20539
Duzce,Yigilca,16090,15008,14090
Duzce,Cilimli,17645,19976,19116
Edirne,Edirne Merkez,165979,185408,198428
Edirne,Enez,11203,10583,10529
Edirne,Havsa,19976,18648,17716
Edirne,Kesan,80486,83373,84791
Edirne,Lalapasa,7077,6590,6065
Edirne,Meric,14509,13681,12548
Edirne,Suloglu,7823,7287,6068
Edirne,Uzunkopru,64312,61087,59457
Edirne,Ipsala,28915,27246,25645
Elazig,Alacakaya,6885,6151,5647
Elazig,Aricak,15306,14620,13161
Elazig,Agin,2819,2626,2579
Elazig,Baskil,14466,13764,13443
Elazig,Elazig Merkez,412220,439687,458747
Elazig,Karakocan,28884,28142,28645
Elazig,Keban,7031,7068,6629
Elazig,Kovancilar,39790,39079,38605
Elazig,Maden,12460,11275,10183
Elazig,Palu,20035,19776,17856
Elazig,Sivrice,8857,8910,8446
Erzincan,Erzincan Merkez,149879,161191,168093
Erzincan,Kemah,7760,6697,6850
Erzincan,Kemaliye,5238,5106,4774
Erzincan,Otlukbeli,2630,2333,2186
Erzincan,Refahiye,11660,11593,11609
Erzincan,Tercan,17771,16875,16351
Erzincan,Cayirli,9602,8582,7977
Erzincan,Uzumlu,11376,13493,14265
Erzincan,Ilic,7717,8877,9134
Erzurum,Aziziye,51605,63502,70032
Erzurum,Askale,24073,23152,20700
Erzurum,Horasan,41310,38837,35642
Erzurum,Hinis,28607,26212,23707
Erzurum,Karayazi,30591,27762,23376
Erzurum,Karacoban,24641,23322,20733
Erzurum,Koprukoy,17043,15784,13393
Erzurum,Narman,14632,13326,11536
Erzurum,Oltu,31424,30511,30374
Erzurum,Olur,7082,6469,6220
Erzurum,Palandoken,164146,172337,179286
Erzurum,Pasinler,30646,28691,26041
Erzurum,Pazaryolu,4601,3975,3786
Erzurum,Tekman,27775,25723,21682
Erzurum,Tortum,17394,18135,14787
Erzurum,Uzundere,8465,8153,7664
Erzurum,Yakutiye,183932,186993,191228
Erzurum,Cat,18505,16708,14641
Erzurum,Ispir,16869,14959,14765
Erzurum,Senkaya,19979,17511,15412
Eskisehir,Alpu,11822,10974,10072
Eskisehir,Beylikova,6083,6400,5723
Eskisehir,Gunyuzu,6000,5671,5261
Eskisehir,Han,2040,2117,2164
Eskisehir,Mahmudiye,8221,7808,7524
Eskisehir,Mihalgazi,4412,3138,2934
Eskisehir,Mihaliccik,9302,8171,7959
Eskisehir,Odunpazari,376650,422423,426581
Eskisehir,Saricakaya,5610,4854,4534
Eskisehir,Seyitgazi,14240,13009,12878
Eskisehir,Sivrihisar,21790,20330,20258
Eskisehir,Tepebasi,323631,370150,394734
Eskisehir,Cifteler,15513,14878,14814
Eskisehir,Inonu,7006,6514,6194
Gaziantep,Araban,31835,32761,32832
Gaziantep,Karkamis,10438,9806,9512
Gaziantep,Nizip,136365,143994,151246
Gaziantep,Nurdagi,37719,40221,38701
Gaziantep,Oguzeli,29526,31879,37027
Gaziantep,Yavuzeli,21333,22205,23329
Gaziantep,Islahiye,65869,67023,65208
Gaziantep,Sahinbey,845528,939497,946812
Gaziantep,Sehitkamil,710853,794931,888696
Giresun,Alucra,12948,10253,9025
Giresun,Bulancak,62644,67582,70683
Giresun,Dereli,20615,19731,20180
Giresun,Dogankent,6552,6613,6588
Giresun,Espiye,32710,35649,38840
Giresun,Eynesil,13280,13293,12678
Giresun,Giresun Merkez,126172,138858,144158
Giresun,Gorele,31367,31862,31661
Giresun,Guce,8371,7992,8303
Giresun,Kesap,20180,19630,20186
Giresun,Piraziz,13292,14310,14162
Giresun,Tirebolu,30695,31854,32720
Giresun,Yaglidere,16292,15793,14857
Giresun,Camoluk,6542,8289,6258
Giresun,Canakci,6644,6232,6117
Giresun,Sebinkarahisar,21680,20459,19506
Gumushane,Gumushane Merkez,52628,56398,54341
Gumushane,Kelkit,42415,52608,38922
Gumushane,Kose,7971,8349,6727
Gumushane,Kurtun,12229,13376,12707
Gumushane,Torul,11495,12504,10762
Gumushane,Siran,19615,21286,19158
Hakkari,Derecik,,23377,25209
Hakkari,Hakkari Merkez,79335,78672,76630
Hakkari,Yuksekova,117440,118915,121153
Hakkari,Cukurca,16251,16141,15628
Hakkari,Semdinli,63261,43886,43571
Hatay,Altinozu,61341,60745,68500
Hatay,Antakya,354768,383354,299586
Hatay,Arsuz,81001,92749,109550
Hatay,Belen,30577,33313,35755
Hatay,Defne,137398,154820,140950
Hatay,Dortyol,117053,125138,131528
Hatay,Erzin,41233,41463,42420
Hatay,Hassa,54146,56519,56541
Hatay,Kumlu,13345,13686,15155
Hatay,Kirikhan,107994,116876,107103
Hatay,Payas,39857,42477,44073
Hatay,Reyhanli,89980,100151,115566
Hatay,Samandag,118373,122223,121660
Hatay,Yayladagi,27800,37000,41872
Hatay,Iskenderun,244970,248380,231926
Isparta,Aksu,5130,4557,4148
Isparta,Atabey,5593,5761,6090
Isparta,Egirdir,33064,31632,30053
Isparta,Gelendost,16133,15298,14235
Isparta,Gonen,7649,6883,6877
Isparta,Isparta Merkez,228730,264426,272797
Isparta,Keciborlu,14329,14152,14129
Isparta,Senirkent,12592,11395,10659
Isparta,Sutculer,11464,10295,9470
Isparta,Uluborlu,7165,6287,6344
Isparta,Yalvac,48803,46688,44777
Isparta,Yenisarbademli,2359,2087,2251
Isparta,Sarkikaraagac,25769,25151,24579
Igdir,Aralik,21843,21313,19485
Igdir,Igdir Merkez,132110,140267,152454
Igdir,Karakoyunlu,13929,13925,12736
Igdir,Tuzluca,24174,23937,22182
Kahramanmaras,Afsin,82122,80447,78836
Kahramanmaras,Andirin,35298,32503,32059
Kahramanmaras,Dulkadiroglu,218029,222673,217530
Kahramanmaras,Ekinozu,12526,11221,10047
Kahramanmaras,Elbistan,142168,141534,130246
Kahramanmaras,Goksun,52142,52255,49576
Kahramanmaras,Nurhak,13068,12279,11824
Kahramanmaras,Onikisubat,371394,431848,436385
Kahramanmaras,Pazarcik,69320,69097,67057
Kahramanmaras,Turkoglu,68423,77112,78047
Kahramanmaras,Caglayancerit,24548,23133,22498
Karabuk,Eflani,8918,8823,9173
Karabuk,Eskipazar,12544,12996,13099
Karabuk,Karabuk Merkez,127658,133615,134810
Karabuk,Ovacik,3168,4274,4509
Karabuk,Safranbolu,58295,68440,69441
Karabuk,Yenice,20750,20310,19446
Karaman,Ayranci,8713,7965,7342
Karaman,Basyayla,3861,3650,3292
Karaman,Ermenek,29957,28565,27988
Karaman,Karaman Merkez,181383,197276,207686
Karaman,Kazimkarabekir,4302,4328,4683
Karaman,Sariveliler,12146,11495,11800
Kars,Akyaka,11375,10584,9693
Kars,Arpacay,18737,16645,14143
Kars,Digor,24932,21730,18528
Kars,Kars Merkez,111278,116712,120948
Kars,Kagizman,46687,45505,43331
Kars,Sarikamis,47231,41280,36293
Kars,Selim,24924,22910,20725
Kars,Susuz,11302,10044,8639
Kastamonu,Abana,4175,4113,4419
Kastamonu,Arac,19038,18670,18452
Kastamonu,Azdavay,7154,7324,7462
Kastamonu,Agli,2980,3094,3250
Kastamonu,Bozkurt,9292,9468,9425
Kastamonu,Cide,20613,22196,22587
Kastamonu,Daday,9186,8319,7992
Kastamonu,Devrekani,12728,12658,12544
Kastamonu,Doganyurt,6464,5651,5173
Kastamonu,Hanonu,3976,4060,4322
Kastamonu,Kastamonu Merkez,137391,152553,156638
Kastamonu,Kure,6588,5774,5303
Kastamonu,Pinarbasi,5590,5841,6036
Kastamonu,Seydiler,4015,4014,4627
Kastamonu,Taskopru,38775,37815,37196
Kastamonu,Tosya,40599,39916,39401
Kastamonu,Catalzeytin,6551,7055,7626
Kastamonu,Ihsangazi,6104,5381,5122
Kastamonu,Inebolu,22918,20980,20036
Kastamonu,Senpazar,4770,4523,4380
Kayseri,Akkisla,6234,5999,5738
Kayseri,Bunyan,27944,30113,30486
Kayseri,Develi,64550,66250,67676
Kayseri,Felahiye,6451,5569,5781
Kayseri,Hacilar,12290,12443,13270
Kayseri,Kocasinan,384203,400726,416214
Kayseri,Melikgazi,537035,582055,589989
Kayseri,Pinarbasi,25293,22900,21567
Kayseri,Sarioglan,14521,14107,13943
Kayseri,Sariz,10529,9537,9853
Kayseri,Talas,128414,165127,171689
Kayseri,Tomarza,24131,22028,20832
Kayseri,Yahyali,36578,36208,35558
Kayseri,Yesilhisar,15864,15935,15674
Kayseri,Ozvatan,3934,4164,4067
Kayseri,Incesu,24405,28567,30181
Kilis,Elbeyli,5982,5986,5830
Kilis,Kilis Merkez,103531,118033,133225
Kilis,Musabeyli,13962,13334,12612
Kilis,Polateli,5306,5137,5072
Kocaeli,Basiskele,79625,116650,124998
Kocaeli,Darica,173139,207345,231442
Kocaeli,Derince,133739,142849,147518
Kocaeli,Dilovasi,45714,50551,54664
Kocaeli,Gebze,338412,382166,411800
Kocaeli,Golcuk,149238,165663,178872
Kocaeli,Kandira,49203,51897,53394
Kocaeli,Karamursel,54225,57557,59504
Kocaeli,Kartepe,104882,121326,147814
Kocaeli,Korfez,146210,169304,181666
Kocaeli,Cayirova,109698,134146,157503
Kocaeli,Izmit,338710,367990,380831
Konya,Ahirli,4722,4753,4666
Konya,Akoren,6390,5838,5857
Konya,Aksehir,94133,93885,93719
Konya,Altinekin,14357,14351,14593
Konya,Beysehir,71366,74469,76629
Konya,Bozkir,27457,25894,25199
Konya,Cihanbeyli,54892,51748,50021
Konya,Derbent,4612,4267,4014
Konya,Derebucak,7272,6031,5540
Konya,Doganhisar,17683,15810,14445
Konya,Emirgazi,9135,8535,7739
Konya,Eregli,139131,146998,156253
Konya,Guneysinir,9769,9288,9287
Konya,Hadim,13260,12015,11049
Konya,Halkapinar,4519,4066,4009
Konya,Huyuk,16296,15652,15033
Konya,Ilgin,55790,54228,53239
Konya,Kadinhani,33065,32144,31494
Konya,Karapinar,48968,49978,51324
Konya,Karatay,295332,338976,385432
Konya,Kulu,50675,50825,51794
Konya,Meram,340817,344546,348071
Konya,Sarayonu,26355,27026,28533
Konya,Selcuklu,584644,662808,700358
Konya,Seydisehir,63773,64822,66067
Konya,Taskent,6620,6296,5931
Konya,Tuzlukcu,6890,6529,6127
Konya,Yalihuyuk,1666,1710,1678
Konya,Yunak,23956,21972,20646
Konya,Celtik,10209,9713,9726
Konya,Cumra,65054,67282,68551
Kutahya,Altintas,17071,16108,14985
Kutahya,Aslanapa,10249,8945,8082
Kutahya,Domanic,15424,14652,13941
Kutahya,Dumlupinar,2986,2944,2803
Kutahya,Emet,21506,19864,17811
Kutahya,Gediz,51185,50274,49240
Kutahya,Hisarcik,13438,12069,10840
Kutahya,Kutahya Merkez,253175,272367,275111
Kutahya,Pazarlar,5335,5086,4816
Kutahya,Simav,64899,63155,60866
Kutahya,Tavsanli,101899,101460,101130
Kutahya,Cavdarhisar,7349,6303,5752
Kutahya,Saphane,7038,6030,5701
Kirklareli,Babaeski,49121,47944,46656
Kirklareli,Demirkoy,8566,8856,8970
Kirklareli,Kofcaz,2707,2308,2156
Kirklareli,Kirklareli Merkez,92514,103042,114800
Kirklareli,Luleburgaz,140236,149184,156648
Kirklareli,Pehlivankoy,3965,3505,3278
Kirklareli,Pinarhisar,18914,18456,17499
Kirklareli,Vize,27700,28541,29024
Kirikkale,Bahsili,6910,7399,7423
Kirikkale,Baliseyh,6100,6478,6060
Kirikkale,Delice,8914,9075,10200
Kirikkale,Karakecili,4077,3369,3124
Kirikkale,Keskin,17814,17620,16265
Kirikkale,Kirikkale Merkez,197037,198477,192558
Kirikkale,Sulakyurt,7089,6953,6145
Kirikkale,Yahsihan,20833,31013,38530
Kirikkale,Celebi,2318,2633,2748
Kirsehir,Akpinar,7874,7465,6918
Kirsehir,Akcakent,4184,3889,3438
Kirsehir,Boztepe,5365,5464,5229
Kirsehir,Kaman,37421,35763,33469
Kirsehir,Kirsehir Merkez,134367,157635,163349
Kirsehir,Mucur,18633,18536,18235
Kirsehir,Cicekdagi,14863,14186,13908
Malatya,Akcadag,29573,29064,32609
Malatya,Arapgir,10796,10275,10214
Malatya,Arguvan,8162,7626,7106
Malatya,Battalgazi,299863,304787,276319
Malatya,Darende,28060,26166,25524
Malatya,Doganyol,4440,4051,4078
Malatya,Dogansehir,40064,38690,35947
Malatya,Hekimhan,19946,18345,18015
Malatya,Kale,5677,6085,6189
Malatya,Kuluncak,8320,7783,7623
Malatya,Puturge,16612,13889,13318
Malatya,Yazihan,14315,13786,14710
Malatya,Yesilyurt,283716,319618,298839
Manisa,Ahmetli,16104,16525,17403
Manisa,Akhisar,163107,173026,180509
Manisa,Alasehir,99962,104622,105776
Manisa,Demirci,43027,40048,35604
Manisa,Golmarmara,15384,15212,15176
Manisa,Gordes,29768,27703,25759
Manisa,Kula,45587,44001,42952
Manisa,Koprubasi,14191,13185,12404
Manisa,Kirkagac,45730,38459,37718
Manisa,Salihli,156861,162787,165353
Manisa,Saruhanli,53684,55340,57935
Manisa,Sarigol,36206,35890,35125
Manisa,Selendi,21437,19871,18869
Manisa,Soma,105518,109946,110996
Manisa,Turgutlu,150460,166418,178386
Manisa,Yunusemre,204436,246440,269160
Manisa,Sehzadeler,166443,171138,166228
Mardin,Artuklu,151356,178154,197776
Mardin,Dargecit,28601,27711,27406
Mardin,Derik,61320,61706,62401
Mardin,Kiziltepe,232628,256664,275640
Mardin,Mazidagi,33070,36304,37470
Mardin,Midyat,105252,114763,124543
Mardin,Nusaybin,116068,108172,119499
Mardin,Savur,29026,26583,24294
Mardin,Yesilli,17136,14695,12996
Mardin,Omerli,14539,14026,14066
Mersin,Akdeniz,276058,262265,256292
Mersin,Anamur,63983,66068,66930
Mersin,Aydincik,11241,11023,11500
Mersin,Bozyazi,26813,26595,26995
Mersin,Erdemli,132938,141476,155435
Mersin,Gulnar,26029,25420,40188
Mersin,Mezitli,164429,204240,225824
Mersin,Mut,62354,62639,63218
Mersin,Silifke,116180,120873,139852
Mersin,Tarsus,323961,342373,356937
Mersin,Toroslar,281130,303010,323271
Mersin,Yenisehir,233489,266117,279402
Mersin,Camliyayla,8650,8326,8435
Mugla,Bodrum,152440,175435,203035
Mugla,Dalaman,35958,42024,51088
Mugla,Datca,20156,22403,25866
Mugla,Fethiye,145643,162686,182280
Mugla,Kavaklidere,10814,10792,10834
Mugla,Koycegiz,34027,36926,41405
Mugla,Marmaris,88621,94749,99589
Mugla,Mentese,102414,115059,124825
Mugla,Milas,132445,141107,150520
Mugla,Ortaca,44827,50027,57155
Mugla,Seydikemer,58771,61653,65861
Mugla,Ula,23610,25402,27392
Mugla,Yatagan,44783,44879,45217
Mus,Bulanik,83266,80643,70568
Mus,Haskoy,27240,26190,26336
Mus,Korkut,26431,24830,22076
Mus,Malazgirt,55804,50926,42135
Mus,Mus Merkez,186097,195323,202012
Mus,Varto,32378,30897,29174
Nevsehir,Acigol,19399,19362,19365
Nevsehir,Avanos,33875,32742,32098
Nevsehir,Derinkuyu,21432,20776,20971
Nevsehir,Gulsehir,22558,21468,21378
Nevsehir,Hacibektas,11426,11302,10886
Nevsehir,Kozakli,14358,13379,12906
Nevsehir,Nevsehir Merkez,127891,148160,161293
Nevsehir,Urgup,35311,35821,39055
Nigde,Altunhisar,13706,12961,12593
Nigde,Bor,61388,60462,62346
Nigde,Nigde Merkez,205753,229121,240283
Nigde,Ulukisla,20842,20228,19534
Nigde,Camardi,13944,12715,11975
Nigde,Ciftlik,28265,27374,25977
Ordu,Akkus,24634,22192,21177
Ordu,Altinordu,195817,217640,234628
Ordu,Aybasti,23049,22027,20334
Ordu,Fatsa,108365,119094,128359
Ordu,Golkoy,29959,28332,25809
Ordu,Gulyali,8384,8269,8837
Ordu,Gurgentepe,14314,14100,13459
Ordu,Kabaduz,8025,7347,7195
Ordu,Kabatas,10923,10617,10201
Ordu,Korgan,30392,28609,27250
Ordu,Kumru,31209,29945,28357
Ordu,Mesudiye,16576,16809,12944
Ordu,Persembe,31702,31542,30558
Ordu,Ulubey,19903,19450,19289
Ordu,Camas,9070,9058,8935
Ordu,Catalpinar,14168,13809,13260
